content,board
   自從姐姐給了我精油  讓我開始有自信  我真的非常的開心   ,happy
 我想去的電影版 登入要500次才能發文，回文   創新帳號以來 我的登入次數終於要破300了！ 好開心   來發文紀念一下 期待破500的那天   美好的週末 天氣有點悶 疑似下大雨的前兆 希望不要啊 我要跟朋友出門玩樂  ,happy
 很多事情都即將告一段落 只能說非常開心 有緣相識 但緣分盡了 就這樣吧  ,happy
 幸虧今天穿長褲，應該沒人看到我腿軟XD  兩年沒present，這次還要求不能看稿，再追加問答時間，  真慶幸我沒有臨場換氧過度XD  整體來講，今天雖然有點小意外，但fluency有達到預設目標，  問答部分也都還算答得上來，雖然有點無賴就是，哈哈哈...  ,happy
  下午去銀行辦事情 回到家才突然下爆雨  開心沒有淋到雨( 븩  ,happy
 這次回歸學習同事們上班的模式 只能說真的很輕鬆，整個就是爽字上班來形容  ,happy
 ※ 引述《Otello ()》之銘言： : 哈哈哈哈哈哈 : 工作就是為了賺錢 : 賺錢就是要花爆 : 買了好多想要很久了的東西真是開心 : 身體的勞累感覺都消失了 : 超爽的   有沒有人可以推薦網路上有免費的電子發票系統  ,happy
 ※ 引述《Otello ()》之銘言： : 哈哈哈哈哈哈 : 工作就是為了賺錢 : 賺錢就是要花爆 : 買了好多想要很久了的東西真是開心 : 身體的勞累感覺都消失了 : 超爽的 有沒有人可以推薦網路有什麼是免費的電子發票系統、蝦皮訂單開發票的系統  ,happy
 超 級 開 心 ~ ~  一瞬間不知道怎麼花這筆意外之財  驚喜之餘...又擔心去領獎的路上會不會被搶  不過我想這擔心應該是多餘的吧  好煩  讓我再回到那個時光吧  再感受一次突然獲得意外之財的爽感好嗎OAO             摁~昨晚做了一個幸運的夢  希望下個月它就會實現喔^^  ,happy
 手術方式：Smile全飛秒 手術診所：新竹x學眼科 手術日期：2022/04/22  印象中我從小學六年級開始就是個眼鏡仔 然後我一直到大學才敢戴隱形眼鏡（？ 可是我發現我很挑隱形眼鏡 總是找不到適合自己的 戴的時候又笨手笨腳的 剛好遇到身邊有人跑去雷射 就覺得好像不錯哦 可以考慮看看 可是自己心裡那道坎過不去 最後就不了了之 是最近疫情嚴峻戴口罩又戴眼鏡真的諸多不方便 然後我隱眼因為眼睛過敏 根本無法戴久 加上我又有散光 戴一般近視的隱眼上班根本看不到 所以就又卯起來詢問身邊的人 一問才知道 原來身邊這麼多人雷射過 然後都是在新竹x學眼科 就開始每天爬文關於雷射的資料 就這樣我勇敢的踏出那麼一大步 術前詢問評估 評估真的很重要 也可以順便幫自己眼睛健檢一下xD 最後做了很多精密的檢查之後 確認我是可以雷射的 我終於下定決心做雷射手術 手術當天真的真的真的超級無敵緊張 可是醫生真的很親切 做的時候還會誇獎你 跟你說說話 特別是將手術形容就像平常戴隱形眼鏡那樣 我就真的想像成那樣 沒多久就好了 做完真的覺得好像也沒什麼 原來也就那樣 那我之前到底是在掙扎什麼 怕什麼 所以我就想來分享給那些還在掙扎猶豫的朋友們 趕快鼓起勇氣去諮詢 做了近視雷射矯正 隔天醒來只有一個字「爽」能形容  在這一個月內對我來說 沒有什麼術後後遺症的問題 有的只有先前的習慣動作還在調整 但也可能我本身過敏體質 在之前戴眼鏡、隱眼已經經歷過 眼睛的各種不適感 所以才沒太多不舒服的感覺 但每個人能矯正到什麼程度 還是要看個人體質  矯正前後的視力對我來說 就跟之前戴眼鏡一樣 只差鼻樑少了副厚重的眼鏡  想擺脫眼鏡的人真的可以去詢問看看 因為有些人想做不見得可以做  總之到目前為止雷射完真的很開心> < 擺脫了眼鏡人生YA  ,happy
