content,board
 我錯了對不起，現在的我還是只能這樣對妳說。 讓妳難過傷心破壞了妳對我的信任 我現在只能希望能有讓妳重新信任  真的對不起對不起......一個貪玩的我卻狠狠傷了妳。  未來我會好好的彌補好好的愛妳。  ,sad
  幹  早上又被吵起來  給不給人睡覺啦幹  最近想參選版主  但文章數差一點點  實在是有夠苦惱的  ,sad
 今天老闆心情好像特別好下午請大家喝飲料和吃雞排 要是每天都有下午茶上班就會更認真了 只是可能會肥死吧 這種小確幸可遇不可求  ,happy
  今早心血來潮和老婆吃賣噹噹最新產品 好好吃 身心都滿足 工作也不忙 好久沒這樣的感覺了 真棒 ----- Sent from JPTT on my iPhone  --   ●  日本的驕傲  乒乓球放在上面也不會滾    ＊   中華民國  很屌嗎，我們台灣 動，馬路就是這麼平！       的驕傲    也可以。 ＼●        ／                              ●      ／ ︱＞         #1FPWIVQQ (joke) ＜︱＞ ●    ／＼                  ▄▃▂▄  ▂▄●▃  ／＼▂▃ ███████████████ψ FallRed  ██████████████  ,happy
 幹拎娘 為什麼我覺得我ㄉ奶子有長大的現象 ？_？  幹他媽我是不是生病了 不然怎麼感覺怪怪的 可是以前經期前也沒這樣啊 幹拎老師 感覺哪裡怪怪的 還是我還在發育 這484代表我還會長高啊 4的話就太讚了 ---- Sent from BePTT on my iPhone 12  ,hate
 我很不快樂，不，連開心都開心不起來。  上一次身體出現異狀的時候，我選擇逃避。現在我又想逃了。 我就是個廢物。   重選了醫師，一樣開一堆沒屁用的藥。吃了我也不會好、吃了我也睡不著。 鎮定劑只讓我感覺靈魂抽離身體。  不想讓家人知道。身體每一寸連毛孔都在哭喊著「救我。」  那感覺很奇怪，感覺自己的靈魂從身體中解離，而那部分的自己是清醒的。 清醒的自己一直告訴著我：「妳要吃飯、妳要睡覺、妳需要休息、不要想那麼多...」 可是身體的自己本能著抗拒。  五天沒吃飯，也不感覺到餓。人體還真奇妙。    給你的訊息打了又收回，自己在掙扎著。 我欠你一個道歉。   不知道回診幾次才能拿到足夠劑量的藥，一睡不醒....  ,sad
    一早出門發現 我幾個月沒穿的鞋鞋發霉了 好懶得洗ㄛ嗚嗚嗚嗚嗚 有人會收肥宅的原味鞋嗎嘔嘔嘔   正妹醫師幫我清理陳年牙結石 左戳戳右刮刮清了好多好多ㄛ 肥宅我覺得我好噁心嗚嗚嗚嗚嗚嗚   https://i.imgur.com/at96KWV.jpg ---- Sent from BePTT on my iPhone 12 Pro Max   ,hate
 今天中午吃到超級好吃的海鮮麵疙瘩 常常踩到雷的外食生活 終於有一個好吃的食物了!!  希望其他口味也超級好吃! 期待明天再去吃麵疙瘩 有好吃食物就有好心情~笑  ,happy
 線上參拜了霞海城隍廟月老  求籤結果  等到冬至後才有心儀對象出現  是支中下籤  嗯  好哦  月老爺爺就拜託你把他帶來了  我繼續做好我能做的   雖然我在說明理想條件的時候  一直想到某人的臉   把籤詩貼在社群網站  某人還來按讚  我不懂你啊啊啊啊  --- 黑特點  同時也求籤問了現在喜歡這對象  拿了下下籤  謝謝神明幫我斷捨離呵呵呵    ,hate
  最近疫情的關係，下班就準時回家， 也比之前多出很多時間滑手機(追追劇、看看網拍)  不知道是不是大家都跟我差不多的日常， 所以好多購物平台和網拍都在做活動， 以前都是先放購物車，再猶豫一下， 可現在真的很多出蠻多時間，很快就會敗下去， 好在已經月底，不然就要準備吃土。  訂了好一陣子的西裝套裝， 今天終於可以取貨，加上明天就是歡樂星期五， 在悲傷新聞充斥的時期，難得有了好心情。  真心希望疫情能快結束，大家都健康平安， 生活都早日回歸正常~  ,happy
 不知道有多少日子沒來到這家小店吃飯 今天終於完成我這小願望了 而且運氣還很好 趕在老闆打烊之前吃到 這幾天心情大概都會很好  ,happy
 雨下不停的這幾天 撐傘依舊全濕去上課... 原本想去看的電影也因為暴雨而流局 但是 今天終於放晴了 可以出門遛噠啦～～  ,happy
  那怕是一公分 我就連把刀在刺深一點的勇氣都沒有  就只是畫過淺淺的皮肉 我都感到痛  可憐的膽小鬼，注定是死不了  ,sad
 公司最近生意變差了 訂單少很多 上班時都沒事做 好無聊啊 閒的發慌 明天又要上班惹 該如何渡過這難熬又無聊的時間呢 幹幹捏  ---- Sent from BePTT on my Samsung SM-G9980  ,hate
 哈囉 大家好  我是 大下巴  我每天 都會被我的大下巴頂到胸口  好危險  但正是因為這個 下八  讓我相貌出眾  我的朋友都很羨慕我這個大下巴  所以我好信運  擁有這一個大下巴  我是遺傳到我家族的  我們是大下巴家族  嚇到了吧 下八   ,happy
 不要輸給寂寞  自己一個人也可以很好  我就差把不要暈船刻到腦門上了  ,sad
     進步前: 要當我的小孩，就得自動自發，自己要知道自己          什麼時候該做什麼事 就是不許哭鬧!!  知道嗎!   進步後: 孩子哭泣有自我安慰作用，孩子想哭想鬧，要適度讓她哭鬧           因為他就是個孩子阿  =================================================================   今天的HAPPY點: 病情有進步   ,happy
    幹 在折價耶  雞掰  好想買喔  可是老娘沒錢  = =    溫尢說得對 還是存錢買我兒的除濕機好了  不然他那個遺傳媽媽的爛鼻子一定會很慘      ,hate
 超羨慕有著許多人格的軀體  我現在的宿主只有我  再怎麼樣也只有我在撐著  好多次想放手  卻沒人可以接手  爛攤在這也是很累  今晚早點睡吧  最好可以夢點什麼永遠不要醒來  或者已經正在...？  那趕快醒來吧  ----- Sent from JPTT on my Google Pixel 5.  ,sad
  深蹲 又是跳繩 肚子好餓 幹 繩子一直卡到腳… 只好休息  來喝高蛋白 餓死了…  ----- Sent from JPTT on my iPhone  ,hate
" 受不了平常嘻嘻哈哈的好朋友，三天兩頭找我男友聊天，從論文、指導老師、家人、寵物 、運動、未來、理想對象、生兒育女觀，什麼都可以超展開。 我平常不跟男友聊天是以為對方在認真寫論文，結果卻給我一直聊一直聊騎車停紅燈還在 聊！ 三人坐在一起聊天，好朋友覺得我男友太呆頭呆腦就直接把紙捲起來往對方頭頂輕輕打下 去，欸 ！那是我男友欸！只有我才可以動手！  講了無數次，男友還是覺得對方只是朋友要我別多想，那乾脆換我退回去當朋友好了。  都要考試了，J,可不可以真正的當我後盾，不要每次說分手就在那哭哭啼啼，該哭的睡眠 不 足的經期紊亂的身體不好的都是我啊。  ",sad
  真的是受不了白癡呢  昨天有問題來問還說: 「我老婆也是XX職務的，她也是專門在處理這些項目， 她覺得非常有問題，非常奇怪，她很堅持這是需要有討論空間的要我來問」  ？？？？ 都已經回答說是照法規計算了，煩到最後直接貼法規公告截圖給他才閉嘴  剛又來吵： 「因為我老婆有幫我算一下在數字上有一些問題， 晚上我請她給我資料，我再寄給妳參考」  乾就已經說是照法規走沒有需要調整的地方欸 不用寄給我我沒有要看欸 不要浪費我的時間拜託  既然你老婆是專門處理這類項目的 麻煩她好好去進修一下專業知識好嗎 不要因為自己的無知而生的問題來浪費你跟你同事的時間好嗎  乾拎老師白癡夫妻  ,hate
 今天整理房間  下背好像拉傷了  覺得好氣又好笑  到現在背還隱隱作痛 :(  ,sad
 今天下午要走路去我家附近的百貨公司逛街、吹冷氣 在半路，突然看到有幾台攝影機架在那 後來就看到資深演員羅北安 （卡戲中，正在整理服裝和裝容） 我就又繼續走，沒想到又突然看到楊謹華站在我前面（等開拍） 實在是有點受寵若驚 然後我就從楊謹華前面走了過去XD  因為兩位都是我滿欣賞的演員 所以我滿開心的:D 且難得在這小地方遇到演員在拍戲～  楊謹華本人真的滿高的（以女生來說）  ,happy
 https://i.imgur.com/xk8oyry.jpg  因為最近變熱，蚊子又增加了  買了這個  不是因為我愛凱蒂貓  只是因為上面他號稱有 PMD 成分  聽說美國 CDC 承認這是有效的防蚊成分  只是台灣還沒承認  如果真的有用的話，  這樣這罐應該CP值還滿高的  補個淦  ,hate
 8月底外公離世 百日後15天 12/15 爸爸也離開了 這世界上疼愛我的人又少了一個  雖然爸爸已經失智六年了 回想起來 爸爸似乎老化的比一般人快 太多太多的後悔與來不及  如果時間能倒退 是否可以讓我有多一些智慧好好處理親子關係？    12/20 爸爸羽化歸仙了 弟弟很乖 答應您不掉淚 有說到做到 哭泣悲傷這種事情都讓我來吧  雖然心裡還是亂亂der… 帶點苦澀 帶點心酸 帶點懊悔 帶點捨不得  曾經 我是您眼中的驕傲 現在 我真的很恨後來的自己  恨自己太多時候的忽略 恨自己沒來得及好好地傾聽 恨自己沒耐心跟您好好溝通    這幾天老爸來夢裡看我…  是很年輕的時候 很瀟灑帥氣 溫柔地跟我說 以後不用再擔心爸爸了 爸爸跟佛祖去修行了 要好好照顧自己    爸 不痛了 眼睛耳朵腳都痊癒了 這輩子您真的辛苦了 都解脫了  ,sad
 東西可以賣比較便宜，不想辦法買多一點，卻給別人賣，是擔心別人買的賣不出去嗎？ 最近兩年看的一堆文章，探討著為何台灣人為何運動不如外國興盛，那些教授沒有一個檢 討工作時數與人民實際可用金錢太少這方面檢討的，就覺得那些人站在金字塔頂端真的太 久了。  ,hate
 太想你了 我想我可能真的很愛你 但卻不能告訴你 如果夢裡可以相見就好了 你給我的東西 我會好好珍藏 不管是戒指書信或照片 都藏在心裡了 這樣才不會被搶走 不能被偷走 否則我會活不下去   ,sad
     對完紙本發票，      中了~286的兩百，      剩下還有電子發票，      不過並不抱任何期望，      四年沒中過電子發票了，      每年能中六百紙本不錯了。  ,happy
 終於又來到禮拜五了，每個禮拜一一開始，就不斷的期待禮拜五的到來， 到了禮拜五當天就覺得心情大好又特好，很開心自己又努力把這個禮拜過完了。  但有一點小不開心，為什麼晚上還一直在下雨，雖然雨不大，但還是希望雨快點停。   ,happy
  每天每天都在想你 你在做什麼 你吃飯了嗎 你在做門嗎 你成功了嗎 你有想我嗎 傳訊息給你卻怎樣都傳不出去 常常夢見你卻永遠看不到你 ----- Sent from JPTT on my iPhone  ,sad
  一直打嗝也沒見脹氣消  嗝到連胃酸都出來了幹   然後還一直鼻塞   媽的什麼時候能好啦幹  ,hate
